"Last updated: January 25, 2026 06:36 PM UTC"
Updated 01/25/26 at 06:36pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Dameon Pierce,RB98,RB,KCC,1271,25.9,No,RB98,1069,,0
Isaiah Hodgins,WR134,WR,NYG,1256,27.3,No,WR135,1085,,0
Jordan Watkins,WR135,WR,SFO,1251,23.9,Yes,WR136,1081,,0
Nick Chubb,RB99,RB,HOU,1242,30.1,No,RB96,1088,,0
Terrell Jennings,RB100,RB,NEP,1240,24.9,No,RB99,1062,,0
Arian Smith,WR136,WR,NYJ,1232,24.3,Yes,WR134,1090,,0
Javon Baker,WR137,WR,SFO,1203,23.9,No,WR138,1034,,0
Jacob Cowing,WR138,WR,SFO,1196,25.0,No,WR140,1018,,0
Jeremy McNichols,RB101,RB,WAS,1189,30.1,No,RB100,1053,,0
Donovan Edwards,RB102,RB,MIA,1188.99,22.9,Yes,RB102,1025,,0
Jonathan Mingo,WR139,WR,DAL,1186,24.8,No,WR137,1064,,0
Lil'Jordan Humphrey,WR140,WR,DEN,1173,27.8,No,WR141,989,,0
Mitchell Evans,TE57,TE,CAR,1169,22.8,Yes,TE56,1061.99,,0
Hassan Haskins,RB103,RB,LAC,1158,26.2,No,RB103,1022,,0
Jacoby Brissett,QB42,QB,ARI,1157,33.1,No,QB32,2409,,0
JuJu Smith-Schuster,WR141,WR,KCC,1151,29.2,No,WR146,955,,0
Skyy Moore,WR142,WR,SFO,1142,25.4,No,WR145,965,,0
Tyler Johnson,WR143,WR,NYJ,1140,27.4,No,WR144,967,,0
Jameis Winston,QB43,QB,NYG,1133,32.0,No,QB46,1518,,0
Brock Wright,TE58,TE,DET,1132,27.2,No,TE57,1059,,0
Bo Melton,WR144,WR,GBP,1124,26.2,No,WR139,1032,,0
Samaje Perine,RB104,RB,CIN,1123.99,30.4,No,RB104,975,,0
Rondale Moore,WR145,WR,MIN,1112,25.6,No,WR142,978,,0
Mason Tipton,WR146,WR,NOS,1110,25.3,No,WR143,968,,0
Joe Flacco,QB44,QB,CIN,1093,41.0,No,QB59,940,,0
Marcus Mariota,QB45,QB,WAS,1091,32.2,No,QB43,1616,,0
Brevin Jordan,TE59,TE,HOU,1087,25.5,No,TE58,981,,0
Nick Westbrook-Ikhine,WR147,WR,MIA,1083,28.8,No,WR147,939.99,,0
Israel Abanikanda,RB105,RB,DAL,1072,23.3,No,RB108,920,,0
Curtis Samuel,WR148,WR,BUF,1071,29.4,No,WR149,919.99,,0
Zavier Scott,RB106,RB,MIN,1053,26.5,No,RB105,959,,0
Jamari Thrash,WR149,WR,CLE,1052,25.1,No,WR150,918,,0
Miles Sanders,RB107,RB,DAL,1044,28.7,No,RB109,912,,0
Ainias Smith,WR150,WR,CAR,1043,24.6,No,WR154,894,,0
Antonio Gibson,RB108,RB,NEP,1042,27.6,No,RB106,949,,0
Deuce Vaughn,RB109,RB,DEN,1039,24.2,No,RB110,903,,0
Sterling Shepard,WR151,WR,TBB,1033,33.0,No,WR162,812,,0
Jake Bobo,WR152,WR,SEA,1030,27.5,No,WR148,922,,0
Jeremy Ruckert,TE60,TE,NYJ,1025,25.4,No,TE62,872,,0
DeAndre Hopkins,WR153,WR,BAL,1022,33.6,No,WR155,871,,0
Xavier Gipson,WR154,WR,NYG,1021,24.9,No,WR153,901,,0
Jared Wiley,TE61,TE,KCC,1018,25.2,No,TE60,930,,0
Tyler Scott,WR155,WR,LAR,1016,24.3,No,WR152,904,,0
Zamir White,RB110,RB,LVR,1015.99,26.4,No,RB112,853,,0
Ty Chandler,RB111,RB,MIN,1011,27.7,No,RB107,924,,0
Frank Gore Jr.,RB112,RB,BUF,998,23.9,No,RB113,838,,0
Will Dissly,TE62,TE,LAC,995,29.6,No,TE61,906,,0
Demarcus Robinson,WR156,WR,SFO,994,31.3,No,WR151,917,,0
Elijah Mitchell,RB113,RB,NEP,986,27.7,No,RB111,865,,0
Bub Means,WR157,WR,NOS,980,25.0,No,WR158,846,,0
Noah Brown,WR158,WR,WAS,973,30.0,No,WR157,859,,0
Jermaine Burton,WR159,WR,FA,969,24.6,No,WR165,755,,0
Riley Leonard,QB46,QB,IND,967,23.4,Yes,QB38,1681,,0
Johnny Wilson,WR160,WR,PHI,966.99,24.8,No,WR156,868,,0
Cam Akers,RB114,RB,SEA,960,26.6,No,RB115,827,,0
Zay Jones,WR161,WR,ARI,950,30.8,No,WR160,833,,0
Brenden Rice,WR162,WR,LVR,933,23.8,No,WR159,837,,0
Tylan Wallace,WR163,WR,BAL,932,26.7,No,WR161,818,,0
Grant Calcaterra,TE63,TE,PHI,929,27.1,No,TE63,843,,0
Adam Trautman,TE64,TE,DEN,918,29.0,No,TE68,748,,0
Josh Oliver,TE65,TE,MIN,917,28.8,No,TE64,836.99,,0
Kendall Milton,RB116,RB,CIN,915,24.0,No,RB114,828,,0
Julius Chestnut,RB115,RB,TEN,914.99,25.2,No,RB118,800,,0
AJ Dillon,RB117,RB,PHI,911,27.7,No,RB119,782,,0
George Holani,RB118,RB,SEA,906,26.1,No,RB121,724,,0
Kirk Cousins,QB47,QB,ATL,893,37.4,No,QB44,1533,,0
Khalil Herbert,RB119,RB,NYJ,885,27.8,No,RB117,801,,0
Derius Davis,WR164,WR,LAC,884,25.4,No,WR167,716,,0
Sione Vaki,RB120,RB,DET,870,24.5,No,RB120,731,,0
Dylan Laube,RB121,RB,LVR,866,26.1,No,RB124,693,,0
Malik Heath,WR165,WR,ATL,863,25.9,No,WR163,781.99,,0
Van Jefferson,WR166,WR,TEN,858,29.5,No,WR166,719,,0
Kenny McIntosh,RB122,RB,SEA,857.99,25.9,No,RB122,718.99,,0
Jake Browning,QB48,QB,CIN,854,29.8,No,QB63,773,,0
Tyler Conklin,TE66,TE,LAC,850,30.5,No,TE67,766,,0
Alexander Mattison,RB123,RB,MIA,833,27.6,No,RB123,717,,0
Tyler Lockett,WR167,WR,LVR,817,33.3,No,WR168,695,,0
Trey Lance,QB49,QB,LAC,814,25.7,No,QB50,1160,,0
LaJohntay Wester,WR168,WR,BAL,807,23.8,Yes,WR169,686,,0
Tim Patrick,WR169,WR,JAC,806,32.2,No,WR164,768,,0
Charlie Kolar,TE67,TE,BAL,798,27.0,No,TE65,803,,0
Taysom Hill,TE68,TE,NOS,792,35.4,No,TE66,788,,0
Mecole Hardman,WR170,WR,BUF,791,27.9,No,WR170,683,,0
Harrison Bryant,TE69,TE,HOU,776,27.8,No,TE70,643,,0
Jawhar Jordan,RB124,RB,HOU,760,26.4,No,RB116,811.99,,0
Hunter Long,TE70,TE,JAC,759.99,27.4,No,TE69,720,,0
Ray-Ray McCloud,WR171,WR,NYG,755,29.3,No,WR172,629,,0
David Bell,WR172,WR,CLE,754,25.1,No,WR171,648,,0
Josh Reynolds,WR173,WR,NYJ,729,30.9,No,WR173,621,,0
Sam Howell,QB50,QB,PHI,720,25.4,No,QB55,1001,,0
Kenny Pickett,QB51,QB,LVR,696,27.6,No,QB49,1163,,0
Thomas Fidone,TE71,TE,NYG,667,23.4,Yes,TE72,587,,0
Brandin Cooks,WR174,WR,BUF,660,32.3,No,WR175,494,,0
Zach Wilson,QB52,QB,MIA,656,26.5,No,QB53,1094,,0
Foster Moreau,TE72,TE,NOS,654,28.7,No,TE71,591,,0
Carson Wentz,QB53,QB,MIN,645,33.1,No,QB65,685,,0
Kalif Raymond,WR175,WR,DET,625,31.5,No,WR174,550,,0
Tyler Huntley,QB54,QB,BAL,599,28.0,No,QB48,1199,,0
Ben Skowronek,WR176,WR,PIT,590,28.6,No,WR178,410,,0
Trayveon Williams,RB126,RB,CLE,583,28.3,No,RB125,553,,0
Devin Duvernay,WR177,WR,CHI,568,28.4,No,WR176,474,,0
Eric Gray,RB127,RB,NYG,567,26.2,No,RB130,381,,0
Austin Hooper,TE73,TE,NEP,564,31.2,No,TE73,475,,0
Trey Sermon,RB128,RB,PIT,530,27.0,No,RB127,454,,0
Aidan O'Connell,QB55,QB,LVR,528,27.4,No,QB58,956,,0
Rakim Jarrett,WR178,WR,PIT,527,25.0,No,WR183,358,,0
Sincere McCormick,RB129,RB,MIN,520,25.4,No,RB126,477,,0
Will Levis,QB56,QB,TEN,515,26.6,No,QB52,1110,,0
Jalen Reagor,WR179,WR,LAC,499,27.1,No,WR179,408,,0
Ashton Dulin,WR180,WR,IND,487,28.7,No,WR177,426,,0
Justin Shorter,WR181,WR,LVR,474,25.8,No,WR182,374,,0
Hunter Renfrow,WR182,WR,FA,471,30.1,No,WR181,385,,0
Jelani Woods,TE74,TE,NYJ,470,27.3,No,TE75,378,,0
Travis Homer,RB131,RB,CHI,469,27.5,No,RB128,390,,0
Tanner McKee,QB57,QB,PHI,444,25.8,No,QB51,1124,,0
Pierre Strong Jr.,RB133,RB,GBP,443.99,27.1,No,RB129,380.99,,0
Jaheim Bell,TE77,TE,PHI,405,24.6,No,TE74,400,,0
Marquez Valdes-Scantling,WR188,WR,PIT,401,31.3,No,WR184,354,,0
Mason Rudolph,QB58,QB,PIT,398,30.5,No,QB56,970,,0
Malik Cunningham,WR190,WR,DET,386,27.3,No,WR180,396,,0
Drew Lock,QB60,QB,SEA,384,29.2,No,QB60,899,,0
DeeJay Dallas,RB135,RB,JAC,383,27.4,No,RB131,380,,0
Gardner Minshew,QB64,QB,KCC,368,29.7,No,QB57,958,,0
Hendon Hooker,QB65,QB,NYJ,367.99,28.0,No,QB69,384,,0
Will Mallory,TE86,TE,IND,360,26.6,No,TE76,360,,0
Tyson Bagent,QB72,QB,CHI,251,25.6,No,QB54,1037,,0
Kyle McCord,QB73,QB,GBP,248,23.4,Yes,QB64,689,,0
Davis Mills,QB75,QB,HOU,236,27.3,No,QB45,1523,,0
Tyrod Taylor,QB76,QB,NYJ,235,36.5,No,QB61,871.99,,0
Stetson Bennett,QB78,QB,LAR,226,28.2,No,QB66,434,,0
Bailey Zappe,QB79,QB,NYJ,225,26.8,No,QB70,376,,0
Mitchell Trubisky,QB81,QB,BUF,218,31.4,No,QB68,419,,0
Jarrett Stidham,QB84,QB,DEN,214,29.5,No,QB72,365,,0
Jimmy Garoppolo,QB95,QB,LAR,102,34.2,No,QB67,422,,0
Philip Rivers,QB96,QB,IND,100,44.1,No,QB73,353.99,,0
Cam Miller,QB97,QB,MIA,93,24.6,Yes,QB71,366,,0
Max Brosmer,QB100,QB,MIN,52,24.8,Yes,QB62,789,,0
